native_id	scan	ms_level	rt_min	precursor_ref	precursor_mz	signal_sha256	inside_requested_window
controllerType=0 controllerNumber=1 scan=18235	18235	2	48.321789	controllerType=0 controllerNumber=1 scan=18234	417.2063	89d0c73429481eda6b374afcaac04d2afda380e94af79d4a6dc2a514c1320db3	True
controllerType=0 controllerNumber=1 scan=18236	18236	2	48.32252	controllerType=0 controllerNumber=1 scan=18234	407.732208251953	a9284d3c33f30ccc00ab360b58c0f8a97bd4cc2acd7ed1cbcc212bae5c74d6ef	True
controllerType=0 controllerNumber=1 scan=18237	18237	2	48.323237	controllerType=0 controllerNumber=1 scan=18234	401.233428955078	e1ba1493c22aa197454172d24a571c6e1e7a970fe57eb2689718f7c60b879986	True
controllerType=0 controllerNumber=1 scan=18238	18238	2	48.323762	controllerType=0 controllerNumber=1 scan=18234	404.229431152344	5f276fa81ace57ba7567d0cbc8fe9cd8e777e71b1dee5f164e3eee2ffa9e2a50	True
controllerType=0 controllerNumber=1 scan=18239	18239	2	48.324495	controllerType=0 controllerNumber=1 scan=18234	517.747009277344	55c5bbb327705f12b00531f85fd19e5f8d3c1efe9872ba44af8602270e25799b	True
controllerType=0 controllerNumber=1 scan=18240	18240	2	48.325243	controllerType=0 controllerNumber=1 scan=18234	630.9528	51214552c51a020916808b644eb4b580fbd8c988d85aa7fa19f3ce14f02ac1b3	True
controllerType=0 controllerNumber=1 scan=18241	18241	2	48.325941	controllerType=0 controllerNumber=1 scan=18234	463.596405029297	8168cfc9164ede0d627c6eb74f0fcaec4dfd37194966a3e28fcf339f410816d7	True
controllerType=0 controllerNumber=1 scan=18242	18242	2	48.326682	controllerType=0 controllerNumber=1 scan=18234	565.9272	26ce9e2f95abe0e09dbecf6e82642cc771c030edca676d70ba8c46cf2cb96a81	True
controllerType=0 controllerNumber=1 scan=18243	18243	2	48.327395	controllerType=0 controllerNumber=1 scan=18234	565.7685546875	409b2ae39fe1c6a1f45ec507fbb23d0217f2e417a352f316fdc08ada5d4741df	True
controllerType=0 controllerNumber=1 scan=18244	18244	2	48.328124	controllerType=0 controllerNumber=1 scan=18234	411.727203369141	6b244cd905f0783bdc4fe0a43258b6e94252551a4bb7d80364dcb3e0766a0691	True
controllerType=0 controllerNumber=1 scan=18245	18245	2	48.328843	controllerType=0 controllerNumber=1 scan=18234	632.799621582031	c3c75f8c027cab6b56f6b440aaf9172938c324560549793e1665843368cf738e	True
controllerType=0 controllerNumber=1 scan=18246	18246	2	48.329605	controllerType=0 controllerNumber=1 scan=18234	602.3149	b4fefca77a587829a511f77957308f944a918438e10b4889275d4f31fca28932	True
controllerType=0 controllerNumber=1 scan=18247	18247	2	48.330341	controllerType=0 controllerNumber=1 scan=18234	426.557708740234	840d6e2e5107de6b10347eed964196ed0c7380e952da3682d77fce25788fe7bd	True
controllerType=0 controllerNumber=1 scan=18248	18248	2	48.331078	controllerType=0 controllerNumber=1 scan=18234	411.8807	d501b69bbc097f75440884d85bf51267793b6e30c5e883ba33ee6d93b34af0f6	True
controllerType=0 controllerNumber=1 scan=18249	18249	2	48.331826	controllerType=0 controllerNumber=1 scan=18234	970.461	f55297725cedfcbf735f3700545d0c7752c0cca316189fcb616a9f53b680e73f	True
controllerType=0 controllerNumber=1 scan=18250	18250	1	48.332887			25f2e9516bf75fffa445448b07ddae305f1a27767d7c5370e7acf6060ba54019	True
controllerType=0 controllerNumber=1 scan=18251	18251	2	48.335016	controllerType=0 controllerNumber=1 scan=18250	512.9401	d0953643eb83df812982ebcba791e8720048d9c72f2b2d8ca459277f5ac14763	True
